30,30
3.33,2.27,4.48,2.17,2.32,1.83,4.91,3.23,4.96,4.51,1.23,2.08,4.2,4.47,1.68,1.19,4.84,3.17,4.8,3.65,4.83,2.82,4.38,4.29,4.26,2.21,2.83,4.44,2.9,3.36
3.84,2.83,3.25,1.68,1.55,3.31,4.08,1.5,2.28,4.79,1.19,3.01,4.02,1.95,3.96,2.23,4.21,1.89,2.41,1.64,1.06,2.72,2.23,1.35,3.61,4.31,4.95,1.4,4.07,2.6
1.92,4.75,1.96,2.78,2.39,4.46,1.21,1.58,4.25,4.8,4.76,2.9,3.17,2.9,1.34,4.52,3.6,4.95,1.4,3.63,2.37,4.19,1.68,1.17,1.6,3.2,2.26,4.59,2.07,2.93
3.54,1.71,3.15,3.68,2.43,3.17,2.7,2.03,4.12,1.71,1.65,2.67,2.51,1.3,3.09,4.32,1.21,1.06,4.19,1.75,1.37,3.95,2.18,3.94,3.51,3.45,2.02,2.69,3.5,2.09
1.46,2.84,1.42,4.14,4.8,1.79,2.93,2.0,3.08,3.77,1.15,4.36,2.11,2.56,1.68,3.86,3.25,4.85,1.65,3.98,2.71,2.65,4.34,2.75,2.71,1.76,4.12,4.92,3.17,3.71
2.68,3.8,1.82,4.83,2.22,2.05,2.82,4.78,3.67,3.65,2.93,3.66,1.68,2.64,3.8,3.81,2.42,3.3,1.29,2.51,3.52,3.75,3.11,2.73,1.87,4.84,3.91,3.68,4.49,2.6
3.16,5.0,1.27,1.72,4.26,4.44,4.17,4.2,1.66,2.71,1.04,4.27,2.1,2.94,1.9,3.68,1.19,2.73,3.13,1.03,4.24,1.75,3.93,1.5,1.95,4.74,3.46,4.29,3.74,3.88
1.98,3.78,1.94,2.55,1.96,2.21,4.36,4.31,3.59,2.98,1.39,4.05,1.74,1.12,1.39,4.93,2.14,2.62,1.23,4.29,1.42,2.35,2.62,3.21,1.02,1.56,2.17,1.3,3.4,2.77
4.93,3.98,2.45,3.46,2.9,1.52,2.0,4.44,4.71,3.1,2.78,4.6,1.21,4.22,1.89,2.96,4.82,2.31,3.5,3.02,2.06,3.91,1.97,1.75,1.04,4.91,4.74,2.59,2.01,1.69
4.11,4.81,1.69,1.65,1.61,1.99,3.5,3.16,1.19,3.32,4.21,1.13,1.87,2.27,3.0,4.89,4.44,1.87,2.12,4.28,1.58,1.33,4.27,1.93,4.76,1.52,2.91,3.64,2.12,4.85
