35,35
4.1,2.55,2.57,4.14,4.18,2.5,1.41,1.71,2.21,1.35,3.14,4.56,2.54,1.55,2.45,1.51,1.41,1.66,1.01,3.29,2.81,1.78,1.88,3.65,2.66,3.65,2.79,2.6,2.08,2.32,3.07,4.99,3.61,1.5,2.85
1.82,3.34,4.43,2.29,3.31,2.36,1.63,4.18,1.52,2.69,1.95,1.55,2.89,1.18,2.28,2.76,3.76,4.51,4.82,2.53,3.31,3.17,3.62,4.33,4.18,2.26,3.52,3.85,2.73,3.16,4.18,2.55,1.69,4.65,4.2
3.08,4.52,3.57,1.36,2.32,2.69,1.35,3.82,2.91,4.59,2.05,3.93,2.29,2.43,3.21,2.33,1.27,2.98,3.61,4.14,2.88,4.82,3.58,4.59,4.04,1.75,4.73,3.94,4.79,1.75,4.83,3.64,1.29,3.09,2.18
2.38,1.72,4.27,3.81,2.52,4.21,4.37,2.63,1.16,2.16,1.24,1.76,2.8,3.13,2.8,1.36,3.56,1.93,1.61,3.1,2.07,2.7,3.38,4.18,1.18,1.77,4.52,2.27,3.05,1.58,1.12,4.68,4.39,1.12,4.45
3.15,2.71,3.31,3.25,3.58,4.7,2.72,1.35,4.25,1.68,3.0,4.09,3.76,1.05,2.66,4.9,3.75,2.18,3.4,2.11,1.65,3.99,3.1,2.68,3.06,3.69,4.06,2.72,1.31,2.15,2.79,1.17,4.54,3.54,4.84
3.32,1.6,2.31,3.77,3.37,3.75,1.31,3.67,4.9,2.14,3.0,4.01,3.06,3.75,3.79,2.77,3.56,4.07,1.06,3.79,1.41,1.51,1.34,3.61,1.97,2.79,2.72,3.75,1.27,3.09,3.53,1.36,4.7,1.54,2.45
4.68,2.05,1.6,4.01,2.66,2.38,2.41,3.16,1.9,3.35,1.25,1.1,4.61,4.91,3.2,2.26,4.62,4.54,1.15,2.44,3.07,1.23,3.85,2.55,2.28,2.18,3.39,1.9,4.36,3.01,3.64,4.1,2.1,1.03,4.15
1.06,4.58,1.31,1.61,1.9,2.54,2.25,4.15,1.59,1.78,4.62,1.47,2.95,2.27,4.02,3.96,3.46,1.76,1.76,1.96,3.08,1.79,1.1,2.62,1.8,2.76,4.81,2.09,4.77,2.39,2.4,2.7,4.81,2.03,4.85
1.19,4.62,3.09,3.07,3.1,2.32,3.43,1.55,4.86,4.55,2.94,4.91,2.86,2.0,1.29,3.38,3.42,1.87,4.46,4.1,4.55,3.24,2.03,1.87,1.34,3.94,4.57,3.49,1.6,3.91,4.65,3.03,1.02,3.19,4.25
4.63,2.82,3.47,2.29,3.73,1.67,2.8,3.76,1.08,2.87,1.67,4.24,1.38,2.61,4.82,1.08,1.96,2.49,4.2,3.23,4.57,1.65,2.07,3.41,3.76,4.04,2.65,3.73,4.23,3.4,4.82,2.3,2.89,2.33,1.47
1.29,4.06,4.01,1.97,4.89,2.47,3.36,3.72,2.57,1.4,1.22,4.44,1.68,3.63,2.25,2.66,4.4,3.83,4.91,1.11,1.9,3.68,2.37,1.39,1.32,4.85,2.47,3.72,4.49,1.52,4.09,2.54,1.11,3.98,2.25
3.75,3.75,4.64,2.76,4.52,4.74,3.2,2.92,4.99,3.5,2.89,2.95,3.43,2.13,3.63,2.47,1.42,1.64,1.31,1.03,3.65,4.91,3.84,1.1,4.24,3.01,4.01,4.62,4.41,1.38,4.06,2.14,3.51,4.8,4.46
3.25,3.96,4.48,3.83,2.57,3.31,1.88,4.56,1.03,2.15,2.57,3.09,3.1,1.35,2.27,1.58,4.04,2.76,2.69,4.4,4.06,4.58,4.93,2.69,3.35,3.01,1.65,3.45,1.91,4.46,1.27,3.89,2.63,3.38,3.28
2.65,2.57,3.26,2.11,4.72,3.39,4.88,3.26,3.28,3.97,3.75,1.6,3.06,1.46,3.49,1.76,4.79,4.1,3.78,3.72,2.13,4.68,2.42,4.15,2.86,2.17,1.09,4.37,4.81,4.42,1.82,4.47,3.19,1.78,3.86
1.96,2.76,1.1,1.54,2.6,3.48,1.68,1.2,3.56,1.32,2.93,2.46,3.41,1.17,1.67,1.09,1.26,2.06,4.47,1.38,4.03,1.48,2.95,1.64,1.88,2.3,4.23,1.02,1.49,3.85,3.17,2.51,4.07,1.35,3.34
4.15,4.88,1.86,2.89,4.05,4.22,4.34,2.85,3.22,3.42,4.42,3.65,1.86,1.62,1.99,2.64,3.36,2.19,2.65,4.37,4.89,1.24,2.62,4.04,4.0,4.95,1.81,3.31,1.72,3.84,3.52,3.16,3.28,1.49,3.63
4.43,1.78,1.82,3.47,1.94,1.57,2.08,2.18,3.47,1.1,3.12,3.69,3.5,3.37,3.45,2.21,4.16,4.49,3.04,3.2,1.88,4.28,4.17,3.87,2.34,1.67,2.35,4.06,4.81,2.13,3.18,1.8,2.13,4.31,3.79
1.4,1.38,1.68,1.97,2.35,3.87,1.01,2.7,1.77,1.79,4.57,3.89,3.56,4.5,1.12,1.92,3.56,3.19,3.1,3.11,3.32,1.94,2.53,1.16,1.01,4.3,1.13,4.46,4.43,4.93,4.69,3.15,1.31,3.89,2.64
3.2,4.29,2.71,3.84,3.59,1.16,3.03,2.88,1.77,3.0,3.71,2.86,3.96,3.87,4.16,1.33,1.56,2.08,1.41,1.84,2.77,1.77,4.62,4.81,3.23,3.16,3.53,1.46,3.14,4.19,2.47,1.94,2.64,1.61,2.76
4.96,4.21,1.69,3.21,3.74,2.26,2.29,4.77,2.68,2.08,2.16,1.22,1.35,4.02,3.55,4.71,4.28,3.32,2.96,4.17,2.07,2.4,4.72,2.81,1.73,3.57,1.84,2.39,2.79,1.63,3.91,4.84,4.08,4.47,2.5
3.95,3.0,3.6,4.69,1.39,2.17,1.98,1.73,3.46,1.74,1.98,3.77,3.09,2.0,3.03,2.42,2.13,4.37,3.69,2.77,2.32,4.53,2.03,2.41,4.47,2.73,3.1,4.61,1.93,3.25,1.08,1.82,2.93,2.1,3.09
3.96,1.95,3.08,4.7,2.23,2.16,2.67,4.15,3.98,4.58,2.96,1.53,4.33,3.47,4.61,3.69,2.36,3.32,3.16,3.55,1.59,2.61,3.7,3.27,4.69,4.48,3.12,4.9,4.11,1.37,2.05,2.98,2.8,3.96,4.46
2.25,4.16,4.77,2.05,2.81,2.79,2.8,3.81,1.63,3.39,4.68,3.13,2.42,2.56,3.37,2.81,2.83,4.73,2.53,2.65,2.84,3.81,3.18,3.64,1.75,2.52,1.37,2.97,3.57,1.84,1.47,2.87,2.06,3.19,3.93
2.77,4.72,3.14,3.26,4.37,4.38,4.35,4.11,4.84,2.66,3.82,1.26,3.31,2.75,4.0,2.6,4.33,1.23,2.5,2.45,3.01,2.32,1.28,4.62,1.16,3.92,4.12,3.56,1.09,1.11,4.49,3.61,3.95,4.63,2.26
3.3,4.54,4.72,3.33,3.98,4.85,4.49,2.06,4.86,3.92,3.03,1.55,3.18,4.8,4.9,3.64,3.29,1.27,4.3,3.14,1.1,4.01,4.78,3.32,4.27,2.85,4.6,4.69,2.62,2.48,4.64,4.89,3.56,1.59,3.35
1.26,3.59,2.92,3.4,4.98,1.9,2.2,3.15,4.65,3.09,3.49,2.37,2.19,3.56,3.22,3.32,3.03,4.44,4.14,4.41,1.69,2.13,2.23,1.58,2.16,1.59,3.6,3.43,4.31,1.29,1.62,4.54,1.11,4.21,4.55
1.87,2.83,4.12,2.69,2.6,2.78,1.39,4.85,4.37,2.16,1.35,3.23,1.85,3.0,1.05,1.45,4.41,4.04,3.99,1.09,3.63,1.26,1.81,4.69,2.07,2.88,4.73,3.42,3.68,4.67,2.58,4.74,4.0,3.93,4.59
2.27,1.74,3.7,3.34,3.04,4.09,2.04,2.51,2.17,4.76,2.63,4.85,2.85,1.11,2.21,4.1,2.39,1.41,4.51,1.26,4.43,4.29,4.21,2.88,1.24,4.5,1.81,1.69,4.47,2.03,1.98,4.75,4.5,3.67,1.9
1.04,2.57,1.77,1.1,3.87,3.09,1.07,4.64,1.01,2.22,3.36,4.32,2.1,4.94,1.04,4.29,3.23,4.05,2.52,4.6,2.84,3.83,2.3,2.24,4.95,1.81,4.9,1.05,1.56,3.21,1.07,3.13,4.67,3.11,2.31
2.13,3.78,2.97,1.45,1.99,4.82,4.6,4.97,1.46,1.17,2.85,1.04,3.92,3.39,3.94,4.32,2.77,1.34,3.74,4.0,4.77,2.03,4.33,4.68,2.29,1.04,3.48,1.55,1.7,2.93,3.39,1.25,3.26,1.64,2.77
