10,10
3.15,4.14,1.3,1.54,3.83,2.24,3.27,1.92,4.69,4.38
2.84,1.34,4.54,1.47,1.41,4.27,3.52,1.77,4.49,1.47
3.34,2.03,4.15,2.98,2.16,2.17,3.98,4.91,3.02,3.83
4.12,1.09,4.3,4.63,2.44,4.94,4.9,2.36,3.06,2.54
3.86,4.81,2.72,4.06,2.84,3.66,2.92,4.14,3.69,1.85
4.67,1.92,4.55,3.59,1.7,2.96,3.32,2.28,1.79,3.99
4.25,2.12,3.92,2.8,1.17,2.81,2.52,3.12,1.08,2.82
3.72,3.07,3.71,4.22,3.39,3.38,4.65,3.74,4.63,3.25
1.83,3.27,2.14,4.97,3.28,3,4.16,1.58,3.84,1.49
1.12,4.94,4.19,4.74,4.69,4.14,3.69,3.36,4.62,4.13
