15,15
4.77,4.04,4.61,1.57,4.69,2.23,2.19,2.0,2.31,4.05,1.94,2.12,4.39,3.97,4.24
2.53,2.78,4.03,1.73,1.5,4.27,3.94,3.54,1.6,1.78,4.83,2.62,2.65,3.46,2.59
4.9,1.88,5.0,2.28,2.6,1.91,4.25,1.24,1.2,4.32,4.29,3.96,1.24,1.92,1.41
4.58,3.74,1.45,2.57,4.83,2.77,2.69,3.3,1.86,4.43,1.91,1.2,2.48,1.84,3.92
3.83,1.0,3.2,3.37,3.91,2.35,2.79,1.0,4.04,4.66,2.16,3.33,3.9,3.55,2.74
1.36,3.03,2.1,2.24,1.98,4.48,1.06,4.96,1.25,1.08,4.57,3.89,2.43,1.71,2.15
1.57,1.92,3.34,2.18,3.45,1.39,3.28,1.77,3.64,2.19,4.41,3.77,4.02,2.67,2.72
3.99,3.84,2.29,2.82,4.04,2.29,1.98,1.49,2.25,3.33,1.32,2.67,1.68,3.72,1.77
4.37,3.17,1.78,4.45,3.89,2.72,1.64,3.73,3.13,2.71,3.41,1.18,2.66,3.3,3.49
3.7,4.37,4.85,2.57,1.1,4.7,1.95,2.56,4.97,4.45,3.83,2.47,3.66,2.51,4.92
2.5,3.3,1.13,1.91,1.08,2.8,3.96,2.94,1.18,2.61,1.0,2.79,3.29,3.66,3.43
2.3,2.28,1.98,1.09,3.43,3.3,1.74,3.11,4.01,4.0,3.43,4.14,3.11,3.99,3.1
4.15,3.54,1.61,1.9,2.24,1.57,4.04,2.14,4.33,3.3,3.72,1.97,2.62,3.62,2.38
4.55,4.3,1.64,1.33,1.62,2.49,1.69,2.58,4.59,2.66,4.59,1.06,1.21,3.42,3.76
3.63,3.11,1.75,3.13,3.8,4.57,4.55,1.95,3.77,3.66,4.37,2.04,2.7,2.92,2.19
