25,25
3.53,4.15,2.17,2.55,2.06,1.31,4.54,1.14,1.73,3.69,4.22,2.42,3.79,4.97,2.17,3.64,3.65,4.23,1.78,1.52,2.54,4.0,4.44,1.64,4.52
3.96,1.91,4.79,1.79,1.06,3.35,2.42,2.35,1.66,4.63,1.92,4.74,3.55,1.9,1.14,3.36,2.09,2.5,3.08,4.26,1.82,1.08,1.34,4.36,2.62
2.47,3.65,4.42,1.08,3.95,3.6,5.0,3.16,5.0,2.39,3.22,4.82,2.14,1.24,3.19,4.34,1.94,4.04,2.93,3.8,4.82,3.45,4.06,3.81,1.99
4.51,1.09,2.37,2.09,2.27,2.63,4.35,1.17,1.79,1.7,1.09,1.27,4.04,4.23,4.64,4.04,4.61,3.96,2.76,4.82,2.69,1.17,4.32,4.37,1.55
4.33,2.88,2.51,2.07,3.99,2.47,1.4,1.52,4.91,3.51,1.57,4.78,3.19,2.22,4.43,3.64,4.47,2.28,1.87,1.52,2.77,4.88,2.04,2.71,1.43
3.36,3.26,1.95,4.79,3.39,4.65,2.36,2.81,1.58,1.84,3.63,4.21,4.5,3.18,4.13,2.55,2.78,3.54,1.14,4.55,2.32,4.71,4.89,2.05,2.41
3.17,3.19,3.15,4.0,4.2,1.47,1.32,1.06,4.08,4.83,1.18,3.57,2.61,2.26,2.22,3.17,3.27,3.75,1.99,2.5,1.66,1.49,3.49,1.07,4.39
4.29,2.1,3.8,1.71,3.93,3.71,2.89,2.36,4.11,4.56,4.27,4.48,4.26,4.06,4.12,3.77,2.07,2.3,4.01,1.42,4.13,1.77,4.97,2.08,2.71
1.57,2.21,3.4,2.36,1.27,2.51,3.41,2.25,2.72,4.04,4.3,3.34,2.64,1.37,3.7,4.2,2.45,2.87,3.18,1.03,4.65,2.19,1.95,1.4,1.59
1.91,4.48,2.11,1.79,4.83,1.12,1.34,2.53,3.42,3.88,3.91,2.98,1.76,3.2,3.78,4.18,1.53,4.92,2.65,1.87,2.69,1.54,3.62,2.04,3.83
4.6,2.84,3.6,2.29,1.03,4.69,3.08,3.41,2.79,2.05,2.66,4.9,1.26,3.87,3.71,4.07,3.28,3.44,3.82,2.48,4.44,1.05,2.07,1.91,1.24
1.35,1.53,4.93,3.69,4.39,3.86,1.75,3.98,4.28,3.97,1.69,1.54,2.71,3.67,3.89,4.47,4.58,3.05,2.55,1.12,3.15,2.4,3.38,1.98,2.4
3.95,1.84,1.09,2.8,3.15,4.4,2.88,3.94,3.73,2.78,3.5,2.77,1.28,3.05,1.78,3.65,2.76,4.34,3.5,3.46,3.42,3.54,4.22,1.59,4.47
4.2,4.43,1.65,2.04,2.66,3.41,1.05,3.17,1.73,1.23,4.59,1.41,4.44,4.5,2.71,1.81,4.16,1.25,3.03,4.7,3.05,4.41,4.64,1.52,1.66
3.81,3.97,2.33,3.54,4.85,3.73,4.79,2.23,4.52,1.62,1.77,2.51,3.78,4.32,3.57,3.95,2.42,3.89,4.67,4.33,3.0,3.5,4.76,1.67,3.22
3.36,1.55,1.05,2.4,3.8,3.89,4.71,3.94,1.41,4.89,1.96,3.84,3.47,1.29,3.09,4.7,4.92,3.21,4.31,4.13,2.61,4.48,3.93,2.16,2.38
3.34,3.28,3.73,3.7,1.47,4.33,1.9,1.14,4.79,4.04,2.69,4.84,3.92,3.38,1.88,3.55,3.36,1.14,4.61,1.96,4.3,4.7,2.66,2.98,2.18
4.84,4.95,4.24,4.14,2.9,3.86,2.51,1.55,4.61,3.02,2.95,1.86,2.41,3.3,1.69,4.73,4.75,1.84,2.12,4.31,2.94,3.46,1.1,1.02,4.66
4.17,4.71,4.37,3.71,1.26,3.17,1.93,1.98,4.56,1.78,1.89,3.61,4.08,2.13,1.47,2.36,1.17,4.07,1.96,4.11,4.74,3.01,4.51,2.12,3.99
3.83,1.36,2.75,1.22,1.52,1.74,4.87,1.67,4.7,1.55,3.65,4.51,3.09,2.54,2.91,3.96,2.26,1.84,3.37,1.42,1.6,3.47,3.15,3.0,3.84
4.09,1.38,3.21,4.02,4.29,2.35,1.53,4.17,1.7,3.13,2.09,2.86,1.84,4.9,3.83,1.62,2.13,3.68,4.57,2.94,1.14,3.22,2.02,4.81,4.43
3.8,1.72,1.09,3.86,2.23,2.56,2.11,4.89,2.25,4.77,2.33,3.05,3.38,3.27,4.52,1.77,2.11,2.39,2.11,4.21,2.04,3.34,1.17,1.41,3.73
4.3,1.65,1.08,3.59,3.97,1.1,1.41,4.47,4.52,2.38,3.41,2.09,3.81,4.24,3.15,2.08,4.76,4.03,3.26,4.53,1.18,3.25,1.9,4.39,4.64
4.73,2.12,3.1,2.88,1.38,4.79,4.03,2.29,2.94,1.7,1.44,1.35,3.05,2.78,1.53,3.03,4.37,3.24,2.37,4.03,2.65,1.42,1.46,4.43,4.5
2.04,4.96,3.54,2.76,3.95,2.2,1.81,2.7,4.12,3.65,3.88,4.1,3.49,2.45,4.7,1.56,4.27,3.2,2.76,3.65,3.64,1.01,2.1,4.28,1.49
