40,40
4.49,3.74,2.99,2.16,3.14,2.85,2.76,1.37,1.75,2.48,3.35,4.2,2.0,3.76,4.65,2.76,1.14,1.99,4.59,3.48,3.0,4.1,4.11,3.04,2.45,2.88,3.62,4.83,1.83,1.51,1.0,1.13,3.89,1.3,3.29,3.43,4.44,4.08,2.58,2.17
1.37,2.34,2.97,1.06,4.21,2.1,4.19,2.81,1.71,2.04,4.07,2.27,1.85,4.88,4.16,3.7,3.98,1.35,1.38,2.29,3.34,2.01,2.96,2.19,4.91,1.71,1.84,1.67,4.74,2.37,2.55,4.74,4.99,4.74,4.2,2.72,4.86,2.89,3.7,1.6
3.21,2.17,4.33,3.8,1.56,3.46,4.96,4.35,2.42,1.48,4.48,3.85,3.3,4.11,2.83,3.45,1.13,3.26,4.05,3.39,1.57,4.22,1.15,2.3,2.38,3.39,4.57,1.92,4.05,4.7,4.84,1.98,3.88,1.94,2.45,4.57,2.63,3.43,4.37,4.96
1.51,3.1,1.82,2.28,4.34,3.27,4.13,1.6,4.44,2.25,2.57,3.07,4.54,3.87,1.19,4.24,4.29,3.95,2.24,2.79,3.27,3.98,4.59,3.09,1.06,3.81,1.7,2.51,2.24,1.67,3.55,2.25,4.98,4.48,4.68,3.2,1.83,1.1,3.8,4.68
3.17,4.77,2.28,3.17,3.59,2.41,2.37,2.55,2.93,4.5,4.86,2.0,1.51,4.03,2.34,1.17,3.34,3.95,1.25,4.92,1.52,3.47,3.67,3.89,4.09,4.59,1.54,2.27,3.71,3.53,4.26,4.88,4.82,3.96,4.2,1.52,3.51,2.25,3.72,2.11
4.39,2.39,4.77,3.63,4.22,2.68,1.89,3.24,1.88,4.87,2.16,3.25,4.03,2.35,3.45,3.49,3.22,4.39,4.9,1.27,2.46,1.61,2.84,3.21,3.32,1.27,4.68,1.23,1.84,2.52,1.82,1.22,4.13,3.93,1.07,2.22,4.24,1.53,2.03,3.78
3.2,1.98,2.84,3.7,4.93,4.79,1.03,3.42,1.09,1.78,1.66,3.82,2.49,1.95,2.24,1.93,3.75,1.13,4.49,3.37,2.63,3.14,2.57,1.36,3.48,1.32,3.68,3.37,2.34,3.16,4.6,2.87,2.44,3.52,5.0,4.1,3.06,3.52,4.36,2.5
1.62,3.34,1.41,4.86,2.08,4.86,2.13,1.88,3.78,3.33,1.77,1.15,2.1,3.85,2.51,4.01,1.99,2.06,1.98,2.04,3.78,1.59,3.72,2.28,4.49,4.29,4.7,1.78,4.58,4.56,4.24,3.53,3.17,1.44,4.99,4.01,1.06,3.04,1.37,3.32
1.05,2.47,1.67,4.34,4.64,3.56,4.38,1.14,4.0,1.11,2.1,3.71,2.09,2.17,3.75,3.71,2.72,1.41,2.84,4.6,1.44,1.68,1.98,3.83,1.14,1.55,4.49,1.15,2.23,3.21,3.83,2.93,3.11,4.48,4.42,3.93,2.05,3.44,3.84,1.05
1.93,1.32,1.43,3.3,2.99,4.83,1.9,3.89,4.44,1.88,1.69,4.12,3.13,1.26,2.74,2.84,4.6,3.21,3.7,2.15,2.66,1.82,3.32,3.17,2.61,4.63,1.78,3.12,2.53,4.37,1.79,3.66,4.83,3.7,2.34,3.39,4.17,4.22,2.95,4.89
4.68,2.94,2.95,3.8,4.6,4.74,2.5,2.92,4.43,1.33,2.43,2.64,2.31,3.77,4.11,3.99,3.2,1.64,4.94,3.99,3.93,1.75,2.98,4.75,2.13,3.08,3.07,4.04,1.53,3.22,1.53,1.11,4.46,2.72,2.18,1.15,3.55,3.21,2.86,2.92
1.5,2.22,1.66,3.48,3.37,3.15,4.71,2.62,2.97,4.79,3.28,3.37,3.32,4.49,4.35,2.43,3.32,1.7,4.78,2.76,2.4,1.91,1.49,1.53,4.96,3.53,4.52,1.94,1.24,1.8,2.13,1.09,2.08,2.01,1.07,1.15,1.4,2.88,2.25,3.07
4.27,1.25,2.77,3.29,4.51,3.78,3.21,4.91,3.22,3.36,2.71,3.31,3.49,3.54,4.7,3.15,4.46,3.98,1.65,1.59,3.55,1.24,1.38,2.79,1.61,3.64,3.77,4.09,4.8,2.11,1.31,3.42,3.11,3.1,3.03,4.37,1.11,4.18,4.88,2.3
4.15,2.6,2.68,4.48,4.01,2.36,4.88,1.41,1.89,2.81,2.96,3.76,3.64,1.42,1.93,3.62,3.92,3.48,4.4,1.22,3.69,1.5,2.89,4.78,3.13,4.2,1.12,2.22,1.03,3.12,4.15,3.29,4.54,4.34,4.33,3.94,2.14,1.52,3.47,1.82
1.7,3.42,2.6,1.73,2.39,3.32,4.71,1.41,1.73,4.5,2.44,1.98,1.19,2.77,1.99,1.84,4.15,4.68,2.68,2.45,2.28,1.94,4.76,1.85,4.63,4.86,2.63,2.39,1.41,3.85,4.53,4.62,3.72,1.7,4.2,1.31,4.45,2.74,2.65,3.9
1.77,1.41,2.86,4.53,3.86,4.41,1.74,1.48,4.52,2.44,3.77,1.8,4.6,3.61,3.84,3.52,4.82,1.96,1.75,4.27,4.33,2.7,3.88,1.67,3.29,1.57,2.65,1.55,3.74,3.3,3.46,1.99,2.75,2.75,3.09,3.91,4.72,3.51,1.08,3.33
1.91,1.59,3.52,4.3,2.24,3.62,4.93,4.44,1.22,4.92,2.77,3.95,4.45,4.36,2.87,4.25,4.0,2.41,4.85,1.78,3.36,1.02,4.67,1.59,3.91,1.96,2.24,2.94,2.11,2.97,4.47,1.43,2.38,2.31,1.4,1.09,1.65,2.99,2.45,4.12
