20,20
2.59,3.59,1.33,2.76,3.4,2.84,3.77,4.47,2.38,4.41,2.67,3.0,2.66,2.28,4.33,2.59,1.15,4.43,3.74,4.63
4.44,3.3,2.47,2.43,3.75,4.0,2.84,1.23,2.97,1.63,3.14,1.03,2.79,4.41,4.13,2.44,3.02,4.33,3.72,4.58
3.56,4.3,1.65,3.59,3.23,3.77,4.56,4.96,4.36,3.08,2.98,2.2,2.34,4.77,3.36,4.55,2.24,3.43,2.89,2.45
3.54,1.18,3.04,4.73,1.26,4.23,2.05,3.54,1.75,3.03,3.4,3.35,1.87,1.49,1.24,4.19,3.69,4.28,3.46,4.4
1.5,2.67,2.98,4.57,3.11,4.78,2.4,1.21,4.58,2.25,3.78,4.65,2.12,2.12,3.2,3.44,3.29,3.34,1.78,3.96
2.02,3.42,2.46,2.99,3.85,4.87,1.79,1.05,2.9,1.02,4.25,1.2,4.48,1.86,3.94,2.08,2.53,1.83,1.75,2.11
2.94,1.35,1.98,3.69,4.16,4.21,1.56,3.58,4.65,1.07,1.96,3.32,1.57,4.66,4.46,1.49,1.69,1.6,3.77,2.09
1.21,3.03,4.68,2.07,1.07,3.37,1.42,4.99,1.72,4.27,4.93,4.98,4.38,2.75,1.51,4.79,1.01,4.63,2.25,3.27
3.94,3.74,2.76,1.33,2.56,1.82,4.8,1.76,3.29,3.57,2.71,1.23,1.14,4.68,3.96,3.52,1.47,4.45,1.15,3.41
1.07,4.73,3.97,3.25,1.76,4.66,2.49,1.57,2.01,1.05,1.87,1.14,3.81,2.74,4.35,3.7,4.77,4.96,3.66,2.6
2.77,1.71,3.42,3.04,2.99,1.32,4.42,3.62,2.63,1.51,4.11,2.08,2.63,4.84,1.1,1.68,4.86,1.7,1.57,3.55
3.19,1.44,2.38,3.28,4.94,4.64,2.86,1.39,3.14,3.46,1.52,2.33,4.49,1.83,1.15,2.92,3.35,4.55,3.62,1.94
4.1,3.48,1.25,3.05,1.13,1.49,1.52,4.33,1.64,4.52,3.05,4.72,1.13,1.52,2.26,4.57,3.63,1.06,3.18,3.91
1.27,3.41,3.85,3.65,3.17,2.59,2.49,3.51,1.69,4.39,4.57,1.88,4.13,2.46,4.2,1.57,4.8,3.54,2.62,3.15
4.72,4.08,3.18,2.59,4.33,3.8,4.37,2.58,2.37,2.68,4.55,2.12,3.24,3.56,3.92,2.5,3.61,2.99,3.03,4.42
3.32,4.94,1.5,4.05,4.34,4.86,4.1,3.83,1.36,1.99,2.19,3.97,2.69,3.5,2.03,2.55,4.04,3.11,3.95,4.28
2.37,3.28,1.93,3.18,2.23,3.81,1.67,4.03,4.32,4.61,4.21,4.31,2.59,1.03,3.63,3.98,2.44,4.22,3.92,3.85
4.67,3.21,4.67,3.27,3.2,2.88,2.8,1.09,4.67,2.15,1.68,2.64,3.04,3.22,3.24,1.33,2.93,1.61,1.12,3.07
1.93,2.34,3.67,3.49,3.16,3.57,2.99,1.65,4.53,3.86,4.3,3.59,4.44,4.19,1.08,2.44,3.45,3.42,2.94,4.42
3.26,2.69,3.8,4.15,2.01,1.76,4.07,3.22,2.56,1.46,4.47,2.87,1.09,3.04,4.98,1.75,1.38,1.5,2.61,3.91
